h_AGL,a_m_s2,rho_kg_m3,p_kg_m_s2,T_k
518.592964824121,338.297710701762,1.16516294972574,95248.1938355162,284.779145728643
524.623115577889,338.274428859041,1.16448059210396,95179.3114283634,284.739949748744
530.653266331658,338.251145413831,1.16379854023903,95110.4693637819,284.700753768844
536.683417085427,338.227860365799,1.16311679403603,95041.6676236935,284.661557788945
542.713567839196,338.204573714615,1.16243535340001,94972.9061900253,284.622361809045
548.743718592965,338.181285459947,1.16175421823609,94904.1850447103,284.583165829146
554.773869346734,338.157995601464,1.16107338844936,94835.5041696873,284.543969849246
560.804020100502,338.134704138835,1.16039286394495,94766.8635469001,284.504773869347
566.834170854271,338.111411071729,1.159712644628,94698.2631582988,284.465577889447
572.86432160804,338.088116399813,1.15903273040368,94629.7029858384,284.426381909548
578.894472361809,338.064820122756,1.15835312117716,94561.1830114801,284.387185929648
584.924623115578,338.041522240226,1.15767381685363,94492.7032171903,284.347989949749
590.954773869347,338.018222751891,1.15699481733829,94424.2635849415,284.308793969849
596.984924623116,337.994921657419,1.15631612253638,94355.8640967113,284.26959798995
603.015075376884,337.971618956478,1.15563773235313,94287.5047344831,284.23040201005
609.045226130653,337.948314648735,1.1549596466938,94219.1854802459,284.191206030151
615.075376884422,337.925008733858,1.15428186546367,94150.9063159943,284.152010050251
621.105527638191,337.901701211515,1.15360438856802,94082.6672237285,284.112814070352
627.13567839196,337.878392081373,1.15292721591216,94014.4681854543,284.073618090452
633.165829145729,337.855081343098,1.15225034740142,93946.3091831832,284.034422110553
639.195979899498,337.831768996359,1.15157378294113,93878.1901989321,283.995226130653
645.226130653266,337.808455040822,1.15089752243665,93810.1112147236,283.956030150754
651.256281407035,337.785139476154,1.15022156579334,93742.072212586,283.916834170854
657.286432160804,337.761822302022,1.14954591291661,93674.073174553,283.877638190955
663.316582914573,337.738503518093,1.14887056371185,93606.114082664,283.838442211055
669.346733668342,337.715183124032,1.14819551808449,93538.1949189639,283.799246231156
675.376884422111,337.691861119507,1.14752077593996,93470.3156655034,283.760050251256
681.407035175879,337.668537504184,1.14684633718372,93402.4763043386,283.720854271357
687.437185929648,337.645212277728,1.14617220172123,93334.6768175313,283.681658291457
693.467336683417,337.621885439807,1.145498369458,93266.9171871488,283.642462311558
699.497487437186,337.598556990085,1.1448248402995,93199.197395264,283.603266331658
705.527638190955,337.575226928229,1.14415161415128,93131.5174239555,283.564070351759
711.557788944724,337.551895253905,1.14347869091886,93063.8772553073,283.524874371859
717.587939698493,337.528561966778,1.1428060705078,92996.2768714093,283.48567839196
723.618090452261,337.505227066514,1.14213375282366,92928.7162543565,283.44648241206
729.64824120603,337.481890552777,1.14146173777203,92861.19538625,283.407286432161
